"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"PR0004579","BASKIN ROBBINS #3075","23432 LYONS AVE ","NEWHALL","CA","91321","34.3794861021","-118.5431669591",""
"PR0004666","THE PARLOUR ROOM OF HOLLYWOO","6423 YUCCA ST ","LOS ANGELES","CA","90028","34.1040382302","-118.3304856742",""
"PR0004839","STAND 39","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""
"PR0004892","STARBUCKS COFFE CO #6744","333 S VINCENT AVE ","WEST COVINA","CA","91790","34.0682283449","-117.9273674586",""
"PR0004909","GLENDALE SPORTS COMPLEX","2200 FERN LN ","GLENDALE","CA","91208","34.1841552182","-118.2161326605","818-515-9511"
"PR0004947","DIEDRICH COFFEE","10850 FIRESTONE BLVD ","NORWALK","CA","90650","33.9232772185","-118.1028068597","562-345-7165"
"PR0004985","MAIN BAR","431 W 7TH ST ","LOS ANGELES","CA","90014","34.0465394143","-118.2551563110",""
"PR0005103","STARBUCKS COFFEE CO #6729","7100 SANTA MONICA BLVD STE #140","WEST HOLLYWOOD","CA","90046","34.0906753329","-118.3441855870",""
"PR0005118","COURTYARD CAFE & SOOK STORE","1011 E AVENUE I ","LANCASTER","CA","93535","34.7053269239","-118.1106661489",""
"PR0005193","ZOO GRILL KIOSK","5333 ZOO DR ","LOS ANGELES","CA","90027","34.1483378363","-118.2847825966","323-644-6039"
"PR0005248","BARNES & NOBLE #2303","210 AMERICANA WAY ","GLENDALE","CA","91210","34.1434854642","-118.2566481745",""
"PR0005284","SAKURA RESTAURANT WAREHOUSE","4543 S CENTINELA AVE ","LOS ANGELES","CA","90066","33.9920029898","-118.4224206226",""
"PR0005321","FRIENDS OF THE VINE","221 AVENIDA DEL NORTE ","REDONDO BEACH","CA","90277","33.8185151151","-118.3874535490",""
"PR0005421","4100 BAR","1087 MANZANITA ST ","LOS ANGELES","CA","90029","34.0929534733","-118.2813768641",""
"PR0005437","STARBUCKS  @ USC","642 W 34TH ST ","LOS ANGELES","CA","90089","34.0216605663","-118.2821072976","213-821-6311"
"PR0005566","EAST WEST ICE PALACE","11446 ARTESIA BLVD ","ARTESIA","CA","90701","33.8723914071","-118.0892495147",""
"PR0005573","STARBUCKS INSIDE RALPH'S #289","5601 WILSHIRE BLVD ","LOS ANGELES","CA","90036","34.0625220558","-118.3506072495",""
"PR0005584","BASKIN ROBBINS #27","177 E COLLEGE ST ","COVINA","CA","91723","34.0875719962","-117.8884419331",""
"PR0005608","STARBUCKS COFFEE #5546","1904 ARTESIA BLVD ","REDONDO BEACH","CA","90278","33.8727055269","-118.3789107164",""
"PR0005664","LES BEAUX CHOCOLATS","1101 E GARVEY AVE STE 103","MONTEREY PARK","CA","91755","34.0629153211","-118.1076712597","310-382-2272"
"PR0005705","SALUD PERFECTA #2","15722 PIONEER BLVD ","NORWALK","CA","90650","33.8888695482","-118.0822593321","562-569-3478"
"PR0005718","LOBBY BAR LEVEL 2","111 S GRAND AVE # LEVEL","LOS ANGELES","CA","90071","33.7430212295","-118.2901829538",""
"PR0005730","CENTURY THEATER","12827 VICTORY BLVD ","NORTH HOLLYWOOD","CA","91606","34.1868384851","-118.4126878012",""
"PR0005741","SUPERIOR GROCERS-(TORTILLERI","1010 E AVENUE J ","LANCASTER","CA","93535","34.6883201977","-118.1118035489","661-802-0079"
"PR0005769","EL TORITO CAFE","5720 1/2 E BEVERLY BLVD","LOS ANGELES","CA","90022","34.0267651083","-118.1450677858","323-721-2110"
"PR0005790","BASKIN ROBBINS STORE #3093","7628 RESEDA BLVD ","RESEDA","CA","91335","34.2092456469","-118.5358616487",""
"PR0005797","EL COLIMA BAR","1748 E FLORENCE AVE ","LOS ANGELES","CA","90001","33.9745238342","-118.2415230228",""
"PR0005867","STARBUCKS COFFEE #11991","3242 W CAHUENGA BLVD W","LOS ANGELES","CA","90068","34.1296456772","-118.3486471077","323-876-8032"
"PR0005972","KNIGHTS OF COLUMBUS","21433 STRATHERN ST ","CANOGA PARK","CA","91304","34.2156762389","-118.5992818933",""
"PR0006026","MONICA FILM CENTER - CONCESSION","1332 2ND ST ","SANTA MONICA","CA","90401","34.0152285636","-118.4979870538",""
"PR0006098","BODYFACTORY","8000 W SUNSET BLVD # B120","LOS ANGELES","CA","90046","34.0979635449","-118.3651395928","888-263-9322"
"PR0006113","THE COFFEE BEAN & TEA LEAF","6333 W 3RD ST STE E-11","LOS ANGELES","CA","90036","34.0715653889","-118.3603964756",""
"PR0006216","MARIA'S CANTINA","738 N AZUSA AVE ","AZUSA","CA","91702","34.1350523465","-117.9071928488",""
"PR0006308","NICECREAM","619 OCEAN FRONT WALK # C","VENICE","CA","90291","33.9920911241","-118.4782278337",""
"PR0006357","STARBUCKS COFFEE CO","701 MONTANA AVE ","SANTA MONICA","CA","90402","34.0269678354","-118.5018759509",""
"PR0006360","GEORGE IZAY PARK STADIUM","1111 W OLIVE AVE ","BURBANK","CA","91506","34.1717250672","-118.3186088855","818-238-5330"
"PR0006425","STARBUCKS COFFEE #6584","24201 VALENCIA BLVD ","VALENCIA","CA","91355","34.4160588947","-118.5576633635",""
"PR0006428","L A TURF CLUB STAND 53","285 W HUNTINGTON DR # 53","ARCADIA","CA","91007","34.1356417536","-118.0417715860",""
"PR0006460","STARBUCKS #10852","31777 CASTAIC RD","CASTAIC","CA","91384","34.4960422478","-118.6223173753","661-257-2746"
"PR0006487","BEN & JERRY'S SANTA MONICA","2441 MAIN ST ","SANTA MONICA","CA","90405","34.0038289045","-118.4851922546","310-450-0691"
"PR0006509","MARKET RESTAURANT @ LA MART","1933 S BROADWAY # B-105","LOS ANGELES","CA","90007","34.0305677230","-118.2663745969","213-746-6004"
"PR0006749","DOLBY THEATRE-GEORGE EASTMIN RM","6801 HOLLYWOOD BLVD ","LOS ANGELES","CA","90028","34.1022873861","-118.3390683805","323-308-6300"
"PR0006755","TARGET STORE-FOOD CRT T2632","6000 SEPULVEDA BLVD STE 2250","CULVER CITY","CA","90230","33.9849450423","-118.3956037948",""
"PR0006796","INDIGO HOUSE","12512 W WASHINGTON BLVD ","LOS ANGELES","CA","90066","33.9965317260","-118.4305747497","310-397-9400"
"PR0006932","IMPERIAL ALANO CLUB INC","8021 S ROSECRANS AVE","PARAMOUNT","CA","90723","33.9040437179","-118.1593886915",""
"PR0006960","CARVEL #3288","11037 SANTA MONICA BLVD ","LOS ANGELES","CA","90025","34.0483275951","-118.4428328669",""
"PR0007019","COLUMBUS CLUB OF NORWALK","12138 E FRONT ST ","NORWALK","CA","90650","33.9077943654","-118.0752382450","562-864-9728"
"PR0007042","EL RECREO ROOM","506 W AVENUE 28","LOS ANGELES","CA","90065","34.0848863337","-118.2214801009",""
"PR0007066","BASKIN ROBBINS","20165 SATICOY ST ","CANOGA PARK","CA","91303","34.2084717238","-118.5726968739",""
"PR0007087","STARBUCKS COFFEE #5349","2231 ROSECRANS AVE STE #B","EL SEGUNDO","CA","90245","33.9019883739","-118.3835200600",""
"PR0007092","LAEMMLE NOHO 2","5240 LANKERSHIM BLVD ","NORTH HOLLYWOOD","CA","91601","34.1659719562","-118.3750499687","818-762-4600"
"PR0007094","STARBUCKS COFFEE #5814","469 BURCHETT ST ","GLENDALE","CA","91203","34.1575349773","-118.2644672560",""
"PR0007149","STUDIO SCOOP","100 UNIVERSAL CITY PLZ","UNIVERSAL CITY","CA","91608","34.1424709902","-118.3568247802","800-864-8377"
"PR0007174","STARBUCKS","333 S HOPE ST STE 125-C","LOS ANGELES","CA","90071","34.0532589541","-118.2529200983","310-505-0533"
"PR0007227","WHOLEFOODS, WINE TASTING","225 LINCOLN BLVD ","VENICE","CA","90291","34.0018328404","-118.4692643949",""
"PR0007347","MULLIGAN'S","100 UNIVERSAL CITY PLZ","UNIVERSAL CITY","CA","91608","34.1424709902","-118.3568247802","800-864-8377"
"PR0007360","PILOT TRAVEL CENTER","31642 CASTAIC RD ","CASTAIC","CA","91384","34.4945626424","-118.6205295077","661-257-2800"
"PR0007447","STAND 51 & BAR 35-SEABISQUIT","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""
"PR0007590","STARBUCKS COFFEE #5301","2627 FOOTHILL BLVD ","LA CRESCENTA","CA","91214","34.2219505372","-118.2360098317","818-541-1477"
"PR0007714","ANGEL'S JUICE BAR","833 S WESTERN AVE STE #40","LOS ANGELES","CA","90005","34.0573598470","-118.3091228766",""
"PR0007773","PEET'S COFFEE AND TEA","124 N LARCHMONT BLVD ","LOS ANGELES","CA","90004","34.0737645780","-118.3234306926",""
"PR0007797","BASKIN ROBBINS","7620 TOPANGA CANYON BLVD ","CANOGA PARK","CA","91304","34.2090032880","-118.6057238090",""
"PR0007829","BASKIN ROBBINS 31 FLAVORS","6040 RESEDA BLVD ","TARZANA","CA","91356","34.1797370460","-118.5358112550",""
"PR0007840","STUB HUB CENTER UPPER CONCOURSE SUITE PANTRY","18400 AVALON BLVD STE 300","CARSON","CA","90746-2182","33.8660141335","-118.2647396389",""
"PR0007896","SLUSHEELAND","6005 VINELAND AVE STE #105","NORTH HOLLYWOOD","CA","91606","34.1796208373","-118.3703320454","818-658-5097"
"PR0007940","EAST LAKEWOOD LITTLE LEAGUE","20701 S STUDEBAKER RD ","LAKEWOOD","CA","90715","33.8419432521","-118.0943326763","562-370-4130"
"PR0007975","CANYON COUNTRY LITTLE LEAGUE","16066 SIERRA HWY ","CANYON COUNTRY","CA","91351","34.4585867809","-118.4162454855","661-298-1451"
"PR0008011","FRONT CONCESSION","8630 GARFIELD AVE EAST","SOUTH GATE","CA","90280","33.9525317255","-118.1639946893",""
"PR0008065","STARBUCKS CIAO BELLA","3400 RIVERSIDE DR ","BURBANK","CA","91522","34.1519901325","-118.3363659453",""
"PR0008104","BAR 26","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""
"PR0008157","VONS STORE #2262-STARBUCKS","710 BROADWAY ","SANTA MONICA","CA","90401","34.0173968590","-118.4905142990",""
"PR0008161","ORIENTAL HEALTH SOUP","4319 W 2ND ST ","LOS ANGELES","CA","90004","34.0712703582","-118.3087318521",""
"PR0008170","ICE N CREAM","2148 GLENDALE GALLERIA # 1325","GLENDALE","CA","91210","34.1448447175","-118.2596653100",""
"PR0008199","TRAY WASH ROOM","112 PLAZA DR # # 220","WEST COVINA","CA","91790","34.0698450441","-117.9278628099","626-960-8032"
"PR0008242","EDIBLE ARRANGEMENTS","43530 W 10TH ST W STE 107","LANCASTER","CA","93534","34.6735898127","-118.1476893229","661-942-3075"
"PR0008249","ELA STADIUM STAND #2","1301 AVENIDA CESAR CHAVEZ ","MONTEREY PARK","CA","91754","34.0394675978","-118.1485828484","323-265-8669"
"PR0008331","SWEET BUTTER MARKET","13824 VENTURA BLVD ","SHERMAN OAKS","CA","91423","34.1482857155","-118.4339471048",""
"PR0008353","ARENA NACHO AND PIZZA BOOTH","11003 ROOKS RD ","PICO RIVERA","CA","90660","34.0255814000","-118.0459556000","562-244-7545"
"PR0008456","PEET'S COFFEE AND TEA","175 S FAIRFAX AVE ","LOS ANGELES","CA","90048","34.0719839779","-118.3616579817","323-648-4980"
"PR0008470","ONE EYE JACK","3977 BEVERLY BLVD ","LOS ANGELES","CA","90004","34.0764561480","-118.2953530381",""
"PR0008515","SOUTH GATE GOLF COURSE START","9615 PINEHURST AVE ","SOUTH GATE","CA","90280","33.9451037408","-118.1825149409",""
"PR0008525","ALBERTSON'S #601 - STARBUCKS","133 W ROUTE 66 ","GLENDORA","CA","91740","34.1297318140","-117.8650520777","626-963-5358"
"PR0008533","AJ SPORTS CLUB","21042 S MAIN ST","CARSON","CA","90745","33.8378701597","-118.2792402627","310-513-8904"
"PR0008537","BODYFACTORY","6366 W SUNSET BLVD ","LOS ANGELES","CA","90028","34.0977411542","-118.3279434118","888-263-9322"
"PR0008542","R B PERFORMINGARTS CTR/EAST","1935 MANHATTAN BEACH BLVD ","REDONDO BEACH","CA","90278","33.8875347763","-118.3780624355",""
"PR0008597","STARBUCKS COFFEE CO","1999 AVENUE OF THE STARS ","LOS ANGELES","CA","90067","34.0588590223","-118.4164191755",""
"PR0008598","STARBUCKS","120 S LOS ANGELES ST ","LOS ANGELES","CA","90012","34.0509199582","-118.2426241615",""
"PR0008612","LOMA ALTA GYM KITCHEN","3330 N LINCOLN AVE ","ALTADENA","CA","91001","34.2027898107","-118.1589156216","626-398-5451"
"PR0008654","DIPPIN DOTS-UNIT #10","111 RAGING WATERS DR ","SAN DIMAS","CA","91773-3928","34.0955625255","-117.8100137319",""
"PR0008674","MAI 31","1600 S AZUSA AVE UNIT #158","INDUSTRY","CA","91748","33.9934454734","-117.9314165224","626-964-8487"
"PR0008684","BASKIN ROBBINS","44150 W 10TH ST W ","LANCASTER","CA","93534","34.6855049340","-118.1475257945","661-942-1731"
"PR0008694","SEINAN JAPANESE SENIOR SENIO","3116 W JEFFERSON BLVD ","LOS ANGELES","CA","90016","34.0254614588","-118.3299370140","323-735-1231"
"PR0008716","COFFEE BEAN & TEA LEAF #173","28291 NEWHALL RANCH RD ","VALENCIA","CA","91355","34.4429569265","-118.5777470736",""
"PR0008724","BOBA CORNER","1635 S SAN GABRIEL BLVD ","SAN GABRIEL","CA","91776","34.0788975634","-118.0920280970",""
"PR0008867","GOTHAM POPCORN","26101 MAGIC MOUNTAIN PKWY","VALENCIA","CA","91355","34.4306095027","-118.6034335649","661-255-4100"
"PR0008890","EDIBLE ARRANGEMENTS","411 N AZUSA AVE ","WEST COVINA","CA","91791","34.0775341923","-117.9078923969",""
"PR0008927","STARBUCKS-VONS","1311 WILSHIRE BLVD ","SANTA MONICA","CA","90403","34.0263988816","-118.4896034806",""
"PR0009151","GOURMET COFFEE","505 S FLOWER ST # B620","LOS ANGELES","CA","90071","34.0515309505","-118.2562318171",""
"PR0009219","FRANK N HANKS","518 S WESTERN AVE ","LOS ANGELES","CA","90020","34.0647537814","-118.3089044383",""
"PR0009293","CAFFE LUXXE","225 26TH ST # #53","SANTA MONICA","CA","90402","34.0474423204","-118.4908004459",""
"PR0009363","STARBUCKS( VON STORE) # 2266","17380 W SUNSET BLVD ","PACIFIC PALISADES","CA","90272","34.0392353738","-118.5546218921",""
"PR0009372","STARBUCK COFFEE #2502","500 E MANCHESTER BLVD ","INGLEWOOD","CA","90301","33.9602830288","-118.3491647705",""
